artwork,style,genre,emotion
36588,25,9,8
36586,25,14,8
36585,25,14,7
36573,25,14,7
36565,25,14,7
72558,25,17,2
43007,25,9,1
42919,25,14,6
42904,25,9,4
42903,25,9,4
42884,1,14,1
42881,25,17,8
29971,25,9,0
29968,25,14,7
29961,25,14,8
29960,25,14,4
29959,25,14,8
29958,25,4,5
29949,25,3,8
29948,25,4,8
29937,25,4,7
29935,25,14,8
29909,25,9,8
29880,25,4,7
29878,25,14,5
29855,25,14,8
29853,25,14,0
29982,25,4,4
29825,25,4,8
82327,24,8,8
69585,3,16,8
67455,17,6,2
67441,17,6,8
67460,17,6,8
35348,25,9,4
35336,25,9,7
35333,25,9,7
35329,24,9,8
35300,25,9,2
35280,25,9,1
35279,25,14,8
35276,25,9,8
35269,24,9,6
35248,24,9,5
35235,24,4,4
35225,25,14,4
35213,25,14,8
35203,25,14,8
35202,25,14,7
35197,25,4,3
35195,25,9,4
46201,27,9,4
46194,27,4,4
46192,27,4,8
46200,27,4,8
46195,27,13,4
46204,27,9,5
62569,27,4,5
62561,27,8,2
33145,27,4,5
33102,27,13,7
33095,27,9,8
33089,27,4,5
33080,27,4,3
33075,27,13,5
33066,27,9,2
33034,27,9,0
33039,27,9,7
33056,27,9,8
33055,27,9,1
33054,27,9,0
33053,27,9,7
33050,27,9,7
33048,27,9,7
33047,27,9,2
33046,27,9,5
33045,27,9,0
33032,27,13,3
33029,27,13,3
33027,27,4,0
33024,27,13,6
33023,27,13,8
33015,27,4,0
33017,27,4,8
33008,27,9,1
32995,27,9,5
32992,27,9,6
32989,27,0,0
32986,27,8,1
32976,27,9,8
32974,27,13,5
32969,27,13,7
32956,27,9,1
32946,27,9,4
32941,27,13,5
32939,27,9,0
32935,27,9,7
32928,27,9,3
32927,27,9,7
32924,27,13,8
32921,27,13,8
32916,27,9,8
32912,27,9,7
32905,27,9,5
32902,27,13,7
32899,27,16,4
32890,27,2,5
32884,27,9,7
32878,27,4,0
32877,27,9,7
32875,27,9,7
32867,27,9,2
32866,27,16,0
36509,27,13,4
36485,27,4,2
36481,27,0,8
36479,27,0,6
36468,27,4,4
36455,27,9,8
62539,27,4,5
49908,7,9,4
49896,21,9,2
49892,3,9,4
49893,3,9,6
37674,27,9,7
37664,27,9,8
37634,27,13,7
37632,27,9,1
74428,3,15,8
74408,3,7,2
74407,3,7,8
74406,3,7,2
79513,10,6,2
69686,1,8,1
67054,21,2,7
26217,13,9,8
26212,28,13,6
26195,28,12,4
26191,13,4,7
26204,28,9,2
26179,13,9,8
26171,13,14,7
26156,13,12,1
26151,28,13,4
26149,28,3,2
26148,28,3,8
26137,28,9,5
26130,28,9,2
26127,13,9,1
26123,13,9,8
26104,13,9,2
26091,13,9,2
26086,13,9,2
26079,13,12,2
26058,13,13,4
26038,13,9,4
26005,28,12,4
26004,13,12,7
26000,13,12,2
25992,13,14,7
37173,28,12,3
37154,28,12,1
37138,28,12,8
37120,28,12,7
37112,28,12,4
37107,28,12,3
37088,28,9,4
37081,28,9,2
37080,28,9,7
37067,28,9,8
37066,28,9,1
37064,28,9,8
37060,28,9,8
37052,28,9,2
37046,28,12,1
37044,28,13,8
37040,28,9,2
37021,28,12,4
37009,28,12,4
37003,28,12,4
75964,3,9,0
75976,3,4,6
83484,1,16,7
77317,22,14,2
34009,14,9,2
33999,14,8,8
33993,14,4,2
33972,14,9,8
33947,14,9,2
33934,14,9,2
33926,14,9,8
33919,14,9,2
33908,14,9,2
33907,14,9,8
33855,14,9,7
62216,25,4,7
62179,25,14,6
62182,25,14,8
62177,25,0,8
62161,25,3,1
62149,25,9,4
62144,25,9,7
62140,25,9,0
62115,25,9,4
62083,25,14,2
62078,25,4,2
62067,25,9,2
62050,25,14,8
62049,25,4,2
62030,25,14,8
62026,25,9,8
62017,25,9,6
62009,25,9,2
56492,24,3,7
56669,24,4,3
56653,21,4,8
56668,24,4,2
56673,24,17,4
56502,21,9,0
65966,23,6,8
65959,17,6,7
65961,17,6,7
65960,23,6,1
65958,23,6,2
65957,23,6,8
65954,17,6,8
65952,17,6,8
65950,17,6,6
65948,17,6,7
65943,17,6,4
65938,23,6,8
65916,23,6,0
65937,23,6,8
65933,23,6,8
65907,17,6,4
65923,17,6,0
65921,23,6,0
65910,23,6,7
65903,23,6,8
65898,23,6,2
65891,23,6,2
65890,17,6,7
65889,23,6,8
65885,17,6,8
65883,23,6,8
65882,23,6,8
65877,17,6,8
65874,17,6,4
65873,17,6,7
65871,23,6,6
8112,25,8,4
8099,25,14,2
8029,25,14,3
4489,22,4,3
4486,22,4,4
4479,25,2,7
4472,22,0,6
4465,22,14,3
4452,22,9,8
4440,22,2,7
4434,22,2,2
4433,22,2,1
4420,22,4,7
69572,21,15,8
82421,24,1,2
69584,21,3,0
82440,24,3,7
69580,24,0,3
68704,22,3,2
58570,2,13,1
39924,24,9,2
43659,3,3,7
43654,3,9,2
43653,3,9,8
43646,7,14,6
43645,7,8,7
43628,1,11,1
43623,7,14,0
43621,7,14,8
43619,7,14,8
43612,3,4,4
43604,3,14,0
83386,17,6,8
83392,17,6,3
83391,17,6,8
83395,17,6,3
83388,17,6,3
77795,22,3,7
77831,25,4,4
80798,12,6,8
80793,19,7,0
80784,12,7,5
80779,19,7,8
80772,19,7,8
45410,21,9,8
45402,21,14,5
45397,21,9,8
45386,21,0,8
45385,21,12,2
77024,7,17,3
66064,24,4,0
82383,24,3,6
82393,24,9,2
82386,24,8,2
66057,21,3,4
82361,21,9,8
82348,21,9,2
55904,21,3,2
55892,24,4,3
67208,17,6,8
45616,16,9,4
65478,10,6,8
65494,10,6,8
65493,10,6,2
65489,10,6,4
65486,10,6,8
65484,10,6,8
65481,10,6,8
20170,22,4,1
20129,22,3,8
20122,22,4,1
20035,22,4,1
20025,22,13,3
82655,24,3,4
82662,24,8,2
51723,1,13,1
51709,1,4,3
51707,1,11,4
51696,1,12,0
51684,1,9,2
51655,1,12,4
51649,1,5,7
51616,1,11,3
51615,1,11,8
51773,3,8,7
51738,1,11,6
51726,1,4,1
51724,3,8,7
80624,7,15,6
80623,7,15,8
78331,2,12,4
78327,2,9,5
83038,23,6,8
83037,10,6,0
83035,23,6,3
83032,23,6,6
66679,3,17,4
66670,3,17,3
76183,24,17,8
66335,17,6,3
66315,17,6,3
66304,17,6,1
66342,23,6,2
66343,23,6,0
65161,17,6,5
65165,23,6,8
74355,17,6,8
74357,17,6,2
74343,17,6,1
65091,17,6,0
65092,17,6,6
65134,17,6,0
65153,17,6,3
69149,23,6,8
69143,17,6,3
65074,17,6,6
65151,17,6,0
65138,17,6,8
66833,17,6,7
74347,17,6,3
74345,17,6,6
74365,17,6,7
65131,17,6,0
74380,17,6,6
69141,23,6,4
74381,17,6,5
65169,17,6,3
66829,17,6,6
65059,17,6,3
66827,23,6,6
66825,17,6,3
74369,17,6,8
65057,23,6,8
66826,17,6,0
65050,17,6,8
74346,17,6,8
65046,17,6,3
69148,17,6,8
74358,17,6,2
74344,17,6,3
65127,17,6,5
74601,17,6,2
74366,17,6,7
65097,17,6,5
65099,17,6,3
65052,17,6,7
65101,17,6,3
67901,17,6,6
65104,17,6,6
65157,17,6,3
65110,17,6,2
65109,17,6,4
65112,17,6,7
65116,17,6,8
65119,17,6,3
65159,17,6,5
65158,17,6,8
65079,17,6,2
69165,17,6,7
65075,17,6,8
65089,23,6,8
65070,17,6,8
24715,3,4,4
24535,17,5,7
24465,7,15,3
24422,3,4,3
24374,21,9,6
24368,3,9,8
24348,3,9,2
24290,17,6,7
24162,25,9,5
24145,11,4,7
24110,11,0,7
24078,7,15,2
24044,24,8,2
24042,24,8,2
24003,17,6,6
74219,3,8,8
74216,3,0,7
79501,3,7,5
45500,22,17,8
45465,22,17,1
82556,24,4,7
82545,24,8,8
82552,24,4,2
82526,24,4,4
1050,19,4,5
1047,19,4,0
1034,7,6,2
1020,19,9,4
1008,19,15,2
79184,28,12,6
73481,19,7,7
73475,19,7,2
73903,23,6,2
73899,17,6,6
73832,17,6,2
73896,17,6,2
73900,23,6,2
69808,10,6,8
80485,23,6,8
80481,23,6,8
80478,23,6,8
79544,17,6,8
79543,17,6,8
1122,8,12,7
1111,8,9,8
1150,8,12,1
1090,8,12,8
81430,21,9,2
59923,7,0,3
59919,7,15,2
83569,10,6,8
83564,10,6,8
83563,10,6,8
83559,10,6,8
83557,10,6,8
83555,17,6,8
83552,10,6,8
65299,17,6,2
66296,10,6,8
66281,10,6,6
66271,10,6,0
66280,10,6,6
66260,10,6,8
66261,10,6,8
66278,10,6,8
66276,10,6,8
66267,10,6,8
66266,10,6,4
66265,10,6,8
66264,10,6,8
66263,10,6,8
80826,17,6,4
80818,17,6,8
80820,17,6,8
80821,17,6,6
65194,10,6,2
66407,10,6,6
66405,10,6,5
66399,10,6,5
65198,10,6,6
65186,10,6,8
66394,10,6,8
66391,10,6,8
54942,24,8,1
54933,24,17,6
54914,24,2,1
54883,24,2,3
69744,19,7,2
69741,19,7,8
69729,19,6,8
70937,17,6,8
70935,17,6,6
70920,23,6,6
70924,17,6,7
70917,17,6,5
70922,17,6,2
70939,17,6,8
70925,17,6,8
70916,17,6,2
70944,17,6,7
70930,17,6,7
70871,17,7,3
70927,17,6,8
70941,17,6,8
42247,8,12,8
42232,8,9,8
42231,8,9,4
42230,8,12,4
83870,16,3,4
58477,4,9,0
58469,4,9,8
58459,4,9,2
76717,10,6,8
76715,10,6,8
77245,10,6,8
79488,10,6,6
69668,17,6,7
69657,17,6,8
66211,17,6,6
66191,17,6,6
66202,17,6,2
69641,17,6,8
38725,19,9,5
38737,19,7,0
38708,19,3,7
56916,3,17,4
56921,3,0,6
56923,3,3,7
58824,3,3,2
58823,3,3,4
58809,3,9,6
56913,3,9,1
58820,3,14,2
56946,21,8,2
56918,1,9,4
51853,3,9,2
51849,17,6,8
51844,17,6,0
51833,3,15,7
51828,23,6,8
51820,23,6,2
51799,3,8,1
51795,17,6,8
51786,17,6,8
51778,17,6,0
75784,19,7,8
75779,19,7,8
23963,2,4,2
23928,2,14,1
23917,2,4,8
23857,2,14,4
23855,2,12,4
23849,2,9,8
23835,2,4,4
23824,2,13,7
23823,2,14,8
23815,2,14,4
23814,2,14,4
23813,2,12,7
23779,2,3,8
23774,2,3,5
23743,2,9,8
23735,2,9,6
23705,2,9,4
23702,2,9,6
23692,2,9,5
23689,2,9,1
23683,2,14,4
23672,2,4,4
23615,2,12,4
23609,2,9,2
23607,2,14,4
23596,2,9,3
23535,2,12,1
23527,2,14,2
23514,2,14,8
23496,2,12,7
23490,2,14,8
23485,2,9,8
23468,2,12,7
23461,2,12,4
80184,19,4,7
80183,19,17,8
80544,15,6,5
80539,23,6,2
80528,23,6,8
80526,23,6,8
80518,23,6,8
17120,13,13,8
17101,13,12,2
17090,13,12,3
17089,13,12,4
17088,13,12,4
17082,13,12,4
17076,13,12,4
17075,13,12,7
17066,13,14,7
17051,13,12,0
17046,13,12,8
17031,13,9,4
17019,13,9,0
17020,13,9,6
17012,13,12,4
16990,13,2,5
44993,1,11,5
44952,1,11,6
44916,1,11,2
44910,1,9,4
44906,1,9,2
44887,1,11,3
44867,1,0,2
44811,1,4,5
44784,1,11,1
44684,1,11,8
44661,1,11,7
44616,1,11,8
44603,1,4,3
44584,1,4,2
44576,1,4,2
44571,1,11,8
67106,17,6,0
67100,17,6,4
67096,17,6,8
65497,17,6,8
56644,16,17,3
56598,21,4,3
56586,29,15,0
56571,21,9,6
56555,16,1,0
56554,21,9,5
56550,21,8,2
56528,7,11,4
57741,3,7,8
57749,3,6,2
57752,3,7,7
78286,17,6,4
78281,17,6,8
78279,17,6,0
77682,10,6,8
77681,17,6,8
77676,17,6,7
77675,10,6,8
77674,17,6,8
77673,17,6,8
77672,17,6,7
77670,10,6,7
77668,10,6,8
67681,19,7,3
57589,3,4,5
57556,3,4,2
65346,17,6,1
65347,17,6,8
73138,29,8,6
52913,21,14,2
52900,3,4,7
52899,3,4,7
52859,3,17,1
52857,25,9,7
52835,25,8,2
52806,21,15,8
52780,21,15,8
52779,21,15,2
52768,25,15,6
52766,21,10,2
52764,25,10,2
52665,21,14,2
52652,7,14,2
52643,3,14,2
52630,25,3,4
52628,25,3,8
52575,3,9,8
52553,25,9,5
52551,25,9,2
52536,3,9,1
52533,25,9,6
52530,7,14,8
52522,21,9,2
52488,21,8,2
52446,21,4,2
52352,25,8,8
52347,3,4,0
52343,21,8,2
52317,21,14,4
52315,21,4,0
52299,21,9,4
52286,21,8,2
52275,1,11,8
52251,21,15,2
52237,16,9,8
52235,3,4,0
52233,3,4,4
52222,1,11,7
52212,25,8,2
52174,21,8,2
52142,7,14,6
52131,21,14,2
80023,13,9,0
84228,10,6,0
84233,10,6,8
84226,10,6,5
8315,9,12,1
8305,13,12,4
8288,13,12,2
8285,9,12,5
8268,13,3,4
8264,13,12,4
8258,13,9,7
8244,13,12,8
8219,13,12,1
8176,13,12,8
8168,9,12,7
182,14,4,2
181,14,4,5
236,14,4,2
185,14,9,8
216,14,4,2
235,14,9,1
232,14,4,2
190,14,4,2
219,14,4,8
58900,2,12,4
58896,2,13,7
56871,2,4,5
861,8,4,4
844,8,12,1
661,21,3,7
705,24,3,2
663,7,6,2
69860,3,3,8
64760,10,6,8
64761,10,6,2
64766,10,6,0
64770,10,6,8
64772,10,6,8
64774,10,6,8
48760,11,12,7
48738,11,12,1
84128,21,3,2
84121,3,4,7
24872,21,4,2
24861,21,14,2
24819,21,0,4
24814,21,3,6
24789,21,14,7
24785,21,9,5
24742,21,17,2
23211,24,14,8
23185,24,14,2
23180,24,9,8
23117,25,9,8
23099,24,17,2
23087,24,10,8
23076,24,10,7
23049,24,15,8
23040,24,4,8
22996,24,4,7
22983,25,9,8
22971,24,9,8
22958,25,4,8
22949,24,17,2
22899,24,0,3
22879,24,1,2
22840,24,15,4
22807,24,15,4
22794,24,9,8
22765,24,0,2
22719,24,10,4
22626,24,9,8
22617,24,9,7
22607,24,9,4
22600,24,9,8
22513,24,4,2
22463,24,9,2
22451,24,9,2
22429,25,9,7
22353,24,8,8
22352,24,8,2
22374,24,14,6
22340,24,9,2
22257,24,14,2
22220,24,9,2
22210,24,9,2
22160,24,15,4
22132,24,14,5
22131,24,8,2
22121,24,9,2
22104,24,9,8
22062,24,4,0
22056,24,9,4
21959,24,10,2
69231,3,7,7
69212,3,6,8
69199,3,6,2
72768,10,6,8
72769,10,6,0
77038,23,6,3
77034,23,6,8
77032,23,6,5
4349,9,12,6
4325,9,12,7
58922,24,8,7
53328,17,6,8
53322,17,6,8
53319,17,6,2
53313,17,6,2
53342,17,6,8
53338,17,6,7
53299,17,6,8
53291,17,6,4
67124,24,9,2
55925,8,12,2
73753,19,7,3
73739,19,7,5
21819,2,12,7
21788,2,3,8
21685,2,12,4
21681,2,13,7
21655,2,13,8
79620,23,6,8
79619,17,6,7
79615,23,6,4
65681,17,6,5
65679,23,6,6
65687,10,6,8
65675,10,6,8
65673,17,6,2
65667,17,6,8
65663,17,6,8
65659,23,6,8
65654,23,6,5
65648,23,6,8
65644,17,6,8
65635,17,6,0
57851,24,4,7
67627,24,8,2
57495,24,8,4
57496,24,4,5
77889,23,6,3
77902,23,6,2
83102,25,4,7
83083,24,4,2
54410,22,4,5
54400,22,16,3
54394,22,4,0
56775,25,4,7
56746,25,9,2
56755,25,9,8
73628,19,7,8
70621,3,4,5
70612,3,14,2
70582,3,14,7
70569,3,9,8
70556,3,14,4
70538,3,4,7
70537,3,4,4
36032,21,9,2
68532,23,6,0
68523,17,6,7
68505,17,6,1
68509,17,6,8
68508,17,6,8
57530,1,9,4
57525,11,17,4
24876,3,5,6
64276,7,17,2
34210,17,6,7
3206,21,14,4
3182,21,15,2
3153,21,0,1
3120,21,14,2
3114,21,4,7
3092,24,15,2
3039,24,9,2
2984,21,4,7
2899,24,9,7
2898,21,9,2
2882,21,14,7
2849,21,4,2
2843,21,8,2
2836,21,0,7
68424,23,6,2
68419,23,6,8
68412,3,4,7
68405,23,6,2
68399,23,6,8
68398,23,6,2
68389,23,6,2
38117,3,9,7
21469,21,9,8
21468,21,9,4
21462,21,9,8
21449,21,9,2
21367,22,9,8
21335,21,15,6
21288,21,9,4
21287,21,3,1
21286,21,3,2
21273,21,3,4
21269,22,3,7
21277,21,3,8
21266,21,9,8
21223,22,9,8
21221,22,9,5
21216,24,9,4
21209,21,9,8
21204,21,9,4
21199,22,9,4
21193,22,9,5
21173,21,9,4
21135,21,13,7
21104,21,4,8
21040,24,14,6
21009,22,9,5
20965,21,9,5
20959,21,8,2
20948,7,8,1
20908,24,4,0
80502,10,6,8
80504,10,6,4
80493,10,6,2
80491,10,6,8
83909,19,9,5
83906,3,7,7
83903,19,8,8
83891,19,9,2
73906,19,15,8
73918,19,15,8
69017,17,6,7
69014,10,6,6
69012,17,6,6
14958,28,9,7
14952,28,9,7
73456,10,6,8
73455,10,6,5
73453,10,6,5
73449,10,6,8
73448,10,6,8
73447,10,6,2
32747,28,13,6
32746,28,12,1
32738,28,4,7
32731,28,12,4
32716,28,12,7
32715,28,12,6
32705,28,12,1
32704,28,12,5
32690,28,12,1
32685,28,9,4
32678,28,9,4
32675,28,13,7
32674,28,9,4
32669,28,13,0
32666,28,12,6
32623,28,12,4
32616,28,13,7
32613,28,12,1
8023,9,14,1
8009,9,12,8
8008,9,12,1
8000,9,12,7
7998,9,9,0
7999,9,9,4
7990,9,9,8
7965,9,12,6
7963,9,9,4
7962,9,14,7
56459,21,9,5
56676,21,17,4
25980,7,2,5
25957,3,9,5
25899,21,9,4
25883,3,4,5
25860,29,15,6
25797,21,4,4
25741,3,4,6
25727,24,4,1
25698,7,15,8
25673,3,3,7
25663,3,3,8
25664,3,3,6
25628,7,14,6
25611,7,14,6
25579,21,9,2
25551,21,9,4
25544,3,9,4
25526,25,9,7
25508,7,15,1
25476,21,9,7
25466,7,15,5
25443,3,13,6
25407,29,0,8
25385,3,9,8
25352,29,9,8
25339,24,4,2
25241,1,11,5
25237,7,15,7
25232,21,4,1
25219,7,9,7
25207,21,4,3
25186,7,15,8
25166,21,4,4
81821,1,11,8
81813,7,6,2
59829,3,9,7
59821,3,3,2
59803,3,4,7
78350,16,8,1
73414,3,17,1
73405,3,9,8
37680,3,0,1
67086,22,9,2
67083,22,4,2
34292,29,16,4
34246,3,9,1
34236,3,3,7
16444,22,9,1
16429,22,9,8
16417,22,9,2
16403,22,9,8
16402,22,9,2
16380,22,9,2
16379,22,9,2
16376,22,9,2
16375,22,9,2
16335,22,9,5
16316,22,9,4
16312,22,9,8
16311,22,14,7
16257,22,9,2
80064,15,6,3
80058,15,6,8
53181,7,15,8
48697,7,0,8
48692,7,7,8
82025,27,4,4
82021,27,4,8
82010,27,13,8
41779,11,5,1
41763,11,15,2
41747,11,12,7
41709,11,13,3
41706,11,13,4
41699,11,5,7
41669,11,12,1
41646,11,9,7
41606,11,10,1
41595,11,9,8
41581,11,12,2
41580,11,5,7
41511,11,13,1
41474,11,2,3
41469,11,13,7
41451,11,13,2
75716,24,9,7
75720,25,9,7
77018,29,4,5
68044,17,6,7
73765,7,17,2
50232,25,4,8
50174,24,4,3
50162,24,4,8
55751,3,9,4
56347,3,4,8
55742,3,8,2
55998,22,4,6
56009,22,4,7
56023,11,5,1
45212,25,12,7
45189,25,9,7
45145,25,9,2
45136,22,14,7
67763,21,17,2
67758,21,14,0
71931,29,4,4
21558,29,15,8
71928,29,4,7
21508,29,2,4
21506,29,2,5
74044,29,2,0
21498,29,4,8
79491,29,4,4
21491,29,4,1
71930,29,4,7
58487,2,4,2
76006,24,9,1
66079,21,9,4
82603,21,9,4
66078,3,9,8
69476,21,9,8
69356,24,4,4
69355,25,9,4
65972,25,9,7
28093,11,12,2
28084,1,4,1
28083,1,14,8
28078,1,17,3
28069,25,14,3
28058,11,12,8
28020,1,16,7
28015,1,16,5
27992,1,14,7
27965,11,14,4
27960,1,4,7
27910,11,8,2
27907,11,8,8
27888,11,4,2
27871,1,11,8
27868,11,4,1
27857,1,11,4
27809,11,8,8
27778,1,14,8
27777,11,14,4
27765,11,14,4
27744,11,8,2
27738,11,8,2
27734,25,14,8
27719,11,8,6
27703,1,12,8
27688,1,4,3
27686,1,9,4
27664,1,17,1
27660,1,17,8
27638,1,14,0
27636,25,14,7
27633,25,14,8
27628,11,14,5
27623,1,11,2
27617,1,11,8
27612,1,11,8
27601,11,14,8
27605,11,14,3
27603,11,14,8
27600,11,14,5
27583,11,8,2
27575,11,8,4
27570,11,8,2
27511,11,4,4
27509,11,8,1
27499,1,4,4
27433,25,2,2
27422,25,12,7
27348,11,14,2
27314,1,11,8
27310,11,14,8
27290,11,8,0
27291,11,14,8
27246,11,14,8
27245,11,14,0
27243,11,14,2
27267,11,14,8
27240,11,14,8
27265,11,14,0
27264,11,14,0
27258,11,14,2
27257,11,14,7
27255,11,14,8
27254,11,14,8
27253,11,8,8
27252,11,14,8
27250,11,14,8
27249,11,14,8
27248,11,14,8
27238,11,14,8
27224,11,4,2
27182,1,11,4
27172,11,5,7
27083,11,8,2
27072,11,14,8
26987,25,8,4
26977,11,17,1
26964,1,13,2
26895,11,8,2
26918,11,8,2
26859,11,8,2
26850,11,8,2
26762,25,9,5
26734,11,12,2
26726,11,17,7
26704,11,14,2
26694,11,13,7
26681,11,8,7
26668,11,13,1
26646,25,4,4
26624,25,17,2
26598,1,11,4
26577,1,17,1
26496,11,8,8
26435,1,8,4
26424,25,15,1
26415,1,11,5
78677,19,6,8
78676,19,6,8
78674,19,6,8
78673,19,6,8
78666,19,6,3
57702,4,8,2
57704,4,8,8
43039,3,15,7
83379,17,6,8
58030,25,4,3
58012,25,9,8
66709,22,4,4
65850,22,4,4
66691,24,4,8
65853,25,4,4
71881,11,16,4
72531,11,14,2
71860,11,17,3
53032,3,17,7
71875,11,17,7
71917,11,8,7
67801,4,2,7
67790,17,6,2
67786,4,6,7
64643,17,7,1
64696,23,6,2
64340,23,6,7
64325,23,6,3
64324,23,6,5
64349,23,6,8
64692,23,6,5
64337,23,6,3
66867,23,6,8
64335,23,6,5
64684,23,6,2
64691,23,6,2
64332,23,6,8
64333,23,6,2
64627,17,6,2
64688,23,6,4
64659,23,6,0
64641,23,6,8
64657,23,6,5
64330,23,6,8
64656,23,6,8
76343,3,15,8
76332,3,14,8
583,21,9,8
552,21,1,0
617,21,0,3
67014,17,6,8
65375,10,6,8
78089,3,4,1
78087,3,4,0
78075,3,9,2
81893,17,6,7
81878,17,6,8
66476,3,9,4
66471,3,1,2
66468,3,0,6
81215,22,9,2
28888,11,4,4
28884,25,3,4
28866,25,9,6
28861,11,9,2
